"ID","iso_code","country_code","country_or_subregion","serotype","year","epi_week","total_cases","incidence_rate","laboratory_confirmed","perc_laboratory_confirmed","severe_dengue","SD_D_per_100","deaths","CFR","population_per_1000"
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,5,227,1.43,0,0,0,0,0,0,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,5,732,8.86,NA,NA,112,15.3,0,0,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,5,5190,4.19,783,15.09,262,5.05,0,0,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,5,2074,33.62,242,11.67,0,0,0,0,6169
2,"PAN",591,"Panama",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,11286,6.65,1570,13.91,381,3.38,0,0,169677
3,"BOL",68,"Bolivia","DEN 4",2014,5,2232,20.58,408,18.28,51,2.28,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,5,11804,24.12,3556,30.13,294,2.49,0,0,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,5,836,5.23,836,100,2,0.24,0,0,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,5,2670,8.68,892,33.41,8,0.3,2,0.075,30769
3,"VEN",862,"Venezuela",NA,2014,5,9122,29.57,0,0,31,0.34,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,26664,19.41,5692,21.35,386,1.45,2,0.008,137381
4,"ARG",32,"Argentina","DEN 4",2014,5,317,0.76,5,1.58,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,5,35582,17.61,13160,36.98,49,0.14,37,0.104,202034
4,"CHL",152,"Chile",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,5,3153,45.58,59,1.87,2,0.06,1,0.032,6918
