"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2008-09","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","FR","France",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","IT","Italy",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","PL","Poland",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","SE","Sweden",3.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","DE","Germany",18.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","EU_EEA31","EU/EEA",27.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","EU28","EU",27.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","FR","France",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","IT","Italy",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","SE","Sweden",4.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-10","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","DE","Germany",21.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","EU_EEA31","EU/EEA",43.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","EU28","EU",43.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","FR","France",10.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","IT","Italy",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","PL","Poland",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","SE","Sweden",10.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","SI","Slovenia",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-11","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","DE","Germany",22.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","EU_EEA31","EU/EEA",34.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","EU28","EU",34.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","FR","France",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","IT","Italy",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","SE","Sweden",9.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-12","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","BE","Belgium",0.000000000,""
